Gene ID,Fold Change
204908_s_at,-2.30E+00
202840_at,-2.30E+00
201540_at,-2.30E+00
207405_s_at,-2.30E+00
203109_at,-2.30E+00
205054_at,-2.30E+00
216088_s_at,-2.30E+00
203378_at,-2.30E+00
209921_at,-2.30E+00
204249_s_at,-2.30E+00
204716_at,-2.30E+00
203403_s_at,-2.30E+00
205444_at,-2.30E+00
214414_x_at,-2.30E+00
203585_at,-2.30E+00
209058_at,-2.20E+00
209268_at,-2.20E+00
202787_s_at,-2.20E+00
201760_s_at,-2.20E+00
219290_x_at,-2.20E+00
205158_at,-2.20E+00
202826_at,-2.20E+00
210028_s_at,-2.20E+00
221381_s_at,-2.20E+00
209350_s_at,-2.20E+00
201407_s_at,-2.20E+00
209803_s_at,-2.20E+00
204482_at,-2.20E+00
220625_s_at,-2.20E+00
205032_at,-2.20E+00
212481_s_at,-2.20E+00
221404_at,-2.20E+00
205345_at,-2.20E+00
204449_at,-2.20E+00
218306_s_at,-2.20E+00
202704_at,-2.20E+00
204616_at,-2.20E+00
202922_at,-2.20E+00
202420_s_at,-2.20E+00
218356_at,-2.20E+00
209289_at,-2.20E+00
209662_at,-2.20E+00
204176_at,-2.20E+00
219461_at,-2.20E+00
209458_x_at,-2.20E+00
201197_at,-2.20E+00
204379_s_at,-2.20E+00
202746_at,-2.20E+00
201931_at,-2.20E+00
215093_at,-2.20E+00
203303_at,-2.20E+00
206689_x_at,-2.20E+00
202582_s_at,-2.20E+00
218502_s_at,-2.20E+00
201242_s_at,-2.20E+00
208609_s_at,-2.20E+00
205766_at,-2.20E+00
208946_s_at,-2.20E+00
212373_at,-2.20E+00
203848_at,-2.20E+00
217850_at,-2.20E+00
201829_at,-2.20E+00
209600_s_at,-2.20E+00
205097_at,-2.20E+00
219041_s_at,-2.20E+00
217988_at,-2.20E+00
209108_at,-2.20E+00
200972_at,-2.20E+00
203327_at,-2.20E+00
206539_s_at,-2.20E+00
218204_s_at,-2.20E+00
217232_x_at,-2.20E+00
218098_at,-2.20E+00
209667_at,-2.20E+00
202926_at,-2.20E+00
200845_s_at,-2.20E+00
206576_s_at,-2.20E+00
203338_at,-2.20E+00
201652_at,-2.20E+00
203566_s_at,-2.20E+00
202232_s_at,-2.20E+00
218668_s_at,-2.20E+00
202471_s_at,-2.20E+00
210128_s_at,-2.20E+00
219105_x_at,-2.20E+00
209570_s_at,-2.20E+00
218443_s_at,-2.20E+00
201714_at,-2.20E+00
208813_at,-2.10E+00
203138_at,-2.10E+00
215001_s_at,-2.10E+00
202780_at,-2.10E+00
202096_s_at,-2.10E+00
201176_s_at,-2.10E+00
203741_s_at,-2.10E+00
205709_s_at,-2.10E+00
202630_at,-2.10E+00
203296_s_at,-2.10E+00
208864_s_at,-2.10E+00
203126_at,-2.10E+00
202745_at,-2.10E+00
205281_s_at,-2.10E+00
220525_s_at,-2.10E+00
207911_s_at,-2.10E+00
205478_at,-2.10E+00
220757_s_at,-2.10E+00
200733_s_at,-2.10E+00
204071_s_at,-2.10E+00
201082_s_at,-2.10E+00
213757_at,-2.10E+00
202414_at,-2.10E+00
201903_at,-2.10E+00
203663_s_at,-2.10E+00
218803_at,-2.10E+00
203689_s_at,-2.10E+00
36711_at,-2.10E+00
202561_at,-2.10E+00
208631_s_at,-2.10E+00
208742_s_at,-2.10E+00
218158_s_at,-2.10E+00
201565_s_at,-2.10E+00
210649_s_at,-2.10E+00
213287_s_at,-2.10E+00
208951_at,-2.10E+00
203323_at,-2.10E+00
210302_s_at,-2.10E+00
200091_s_at,-2.10E+00
202941_at,-2.10E+00
209487_at,-2.10E+00
217941_s_at,-2.10E+00
215548_s_at,-2.10E+00
217967_s_at,-2.10E+00
203053_at,-2.10E+00
214323_s_at,-2.10E+00
204503_at,-2.10E+00
204776_at,-2.10E+00
209666_s_at,-2.10E+00
209130_at,-2.10E+00
212038_s_at,-2.10E+00
202942_at,-2.10E+00
207738_s_at,-2.10E+00
216321_s_at,-2.10E+00
202396_at,-2.10E+00
210046_s_at,-2.00E+00
202984_s_at,-2.00E+00
218494_s_at,-2.00E+00
221589_s_at,-2.00E+00
201744_s_at,-2.00E+00
204059_s_at,-2.00E+00
